stop_id;function_code;uic_code;location_name;location_short_name;latitude;longitude;valid_from;valid_to;default_transfer_time;country;timezone_1;timezone_2;reservation_code
885;M;007601311;Sparbu stasjon;;63.918933;11.428811;;;;00;;;
887;M;007621807;Trykkerud stasjon;;59.512110;9.336053;;;;00;;;
889;M;007600532;Spydeberg stasjon;;59.621071;11.079742;;;;00;;;
891;M;007601416;Spikkestad stasjon;;59.744999;10.343692;;;;00;;;
893;M;007610300;Tuen stasjon;;59.942927;11.102806;;;;00;;;
895;M;007612327;Skiple stasjon;;60.681135;6.679814;;;;00;;;
896;M;007600928;Tynset stasjon;;62.274715;10.776389;;;;00;;;
897;M;007600518;Rygge stasjon;;59.377895;10.747897;;;;00;;;
899;M;007602226;Sandnes sentrum stasjon;;58.852305;5.736575;;;;00;;;
900;M;007600919;Stai stasjon;;61.494286;11.058855;;;;00;;;
902;M;007601405;Stabekk stasjon;;59.908030;10.607257;;;;00;;;
904;M;007600708;Stange stasjon;;60.718010;11.194580;;;;00;;;
905;M;007602323;Hallingskeid stasjon;;60.667918;7.252248;;;;00;;;
906;M;007602336;Stanghelle stasjon;;60.549386;5.733674;;;;00;;;
908;M;007601300;Stjørdal stasjon;;63.470154;10.913654;;;;00;;;
910;M;007601314;Steinkjer stasjon;;64.012677;11.494591;;;;00;;;
912;M;007600206;Strømmen stasjon;;59.949524;11.001614;;;;00;;;
914;M;007400731;Ed station;;58.913664;11.933102;;;;00;;;
916;M;007601310;Røra stasjon;;63.856826;11.401494;;;;00;;;
918;M;007601380;Røkland stasjon;;66.981695;15.313300;;;;00;;;
919;M;007602233;Paradis stasjon;;58.956101;5.742198;;;;00;;;
920;M;007601415;Røyken stasjon;;59.746679;10.389826;;;;00;;;
922;M;007600923;Hanestad stasjon;;61.837969;10.878675;;;;00;;;
924;M;007602212;Egersund stasjon;;58.461142;6.002341;;;;00;;;
926;M;007600519;Råde stasjon;;59.347389;10.866210;;;;00;;;
928;M;007612226;Skeiane stasjon;;58.847034;5.733579;;;;00;;;
