ID;FromStopNumber;ToStopNumber;ASD_or_SER_or_TFF;Reservation_in_equipment;Equipment;Tariff_in_equipment
798;1;2;;;162;
799;1;2;;;162;
800;1;2;;;162;
801;1;2;;;162;
802;1;2;;;162;
803;1;2;;;162;
804;1;2;;;162;
805;1;2;;;162;
806;1;2;;;162;
807;1;2;;;162;
808;1;9;;;;
809;1;9;;;;
810;1;9;;;;
811;1;2;;;162;
812;1;2;;;162;
813;1;2;;;162;
814;1;2;;;162;
815;1;2;;;162;
816;1;2;;;162;
817;1;2;;;162;
818;1;2;;;162;
819;1;2;;;162;
820;1;2;;;162;
821;1;2;;;162;
822;1;2;;;162;
823;1;2;;;162;
824;1;2;;;162;
825;1;2;;;162;
826;1;2;;;162;
827;1;2;;;162;
828;1;2;;;162;
829;1;2;;;162;
830;1;2;;;162;
831;1;2;;;162;
832;1;2;;;162;
833;1;2;;;162;
834;1;2;;;162;
835;1;2;;;162;
836;1;2;;;162;
837;1;2;;;162;
838;1;2;;;162;
839;1;2;;;162;
840;1;2;;;162;
841;1;2;;;162;
842;1;2;;;162;
843;1;2;;;162;
844;1;2;;;162;
845;1;2;;;162;
846;1;2;;;162;
847;1;9;;;;
848;1;9;;;;
849;1;9;;;;
850;1;2;;;162;
851;1;2;;;162;
852;1;2;;;162;
853;1;2;;;162;
854;1;2;;;162;
855;1;2;;;162;
856;1;2;;;162;
857;1;2;;;162;
858;1;2;;;162;
859;1;2;;;162;
860;1;2;;;162;
861;1;2;;;162;
862;1;2;;;162;
863;1;2;;;162;
864;1;2;;;162;
865;1;2;;;162;
866;1;2;;;162;
867;1;2;;;162;
868;1;2;;;162;
869;1;2;;;162;
870;1;2;;;162;
871;1;2;;;162;
872;1;2;;;162;
873;1;2;;;162;
874;1;2;;;162;
875;1;2;;;162;
876;1;2;;;162;
877;1;2;;;162;
878;1;2;;;162;
879;1;2;;;162;
880;1;2;;;162;
881;1;2;;;162;
882;1;2;;;162;
883;1;2;;;162;
884;1;2;;;162;
885;1;2;;;162;
886;1;9;;;;
887;1;9;;;;
888;1;9;;;;
889;1;2;;;162;
890;1;2;;;162;
891;1;2;;;162;
892;1;2;;;162;
893;1;2;;;162;
894;1;2;;;162;
895;1;2;;;162;
896;1;2;;;162;
897;1;2;;;162;
898;1;2;;;162;
899;1;2;;;162;
900;1;2;;;162;
901;1;2;;;162;
902;1;2;;;162;
903;1;2;;;162;
904;1;2;;;162;
905;1;2;;;162;
906;1;2;;;162;
907;1;2;;;162;
908;1;2;;;162;
909;1;2;;;162;
910;1;2;;;162;
911;1;2;;;162;
912;1;2;;;162;
913;1;2;;;162;
914;1;2;;;162;
915;1;2;;;162;
916;1;2;;;162;
917;1;2;;;162;
918;1;2;;;162;
919;1;2;;;162;
920;1;2;;;162;
921;1;2;;;162;
922;1;2;;;162;
923;1;2;;;162;
924;1;2;;;162;
925;1;9;;;;
926;1;9;;;;
927;1;9;;;;
928;1;2;;;162;
929;1;2;;;162;
930;1;2;;;162;
931;1;2;;;162;
932;1;2;;;162;
933;1;2;;;162;
934;1;2;;;162;
935;1;2;;;162;
936;1;2;;;162;
937;1;2;;;162;
938;1;2;;;162;
939;1;2;;;162;
940;1;2;;;162;
941;1;2;;;162;
942;1;2;;;162;
943;1;2;;;162;
944;1;2;;;162;
945;1;2;;;162;
946;1;2;;;162;
947;1;2;;;162;
948;1;2;;;162;
949;1;2;;;162;
950;1;2;;;162;
951;1;2;;;162;
952;1;2;;;162;
953;1;2;;;162;
954;1;2;;;162;
955;1;2;;;162;
956;1;2;;;162;
957;1;2;;;162;
958;1;2;;;162;
959;1;2;;;162;
960;1;2;;;162;
961;1;2;;;162;
962;1;2;;;162;
963;1;2;;;162;
964;1;9;;;;
965;1;9;;;;
966;1;9;;;;
967;1;2;;;162;
968;1;2;;;162;
969;1;2;;;162;
970;1;2;;;162;
971;1;2;;;162;
972;1;2;;;162;
973;1;2;;;162;
974;1;2;;;162;
975;1;2;;;162;
976;1;2;;;162;
977;1;2;;;162;
978;1;2;;;162;
979;1;2;;;162;
980;1;2;;;162;
981;1;2;;;162;
982;1;2;;;162;
983;1;2;;;162;
984;1;2;;;162;
985;1;2;;;162;
986;1;2;;;162;
987;1;2;;;162;
988;1;2;;;162;
989;1;2;;;162;
990;1;2;;;162;
991;1;2;;;162;
992;1;2;;;162;
993;1;2;;;162;
994;1;2;;;162;
995;1;2;;;162;
996;1;2;;;162;
997;1;2;;;162;
998;1;2;;;162;
999;1;2;;;162;
1000;1;2;;;162;
1001;1;2;;;162;
1002;1;2;;;162;
1003;1;9;;;;
1004;1;9;;;;
1005;1;9;;;;
1006;1;2;;;162;
1007;1;2;;;162;
1008;1;2;;;162;
1009;1;2;;;162;
1010;1;2;;;162;
1011;1;2;;;162;
1012;1;2;;;162;
1013;1;2;;;162;
1014;1;2;;;162;
1015;1;2;;;162;
1016;1;2;;;162;
1017;1;2;;;162;
1018;1;2;;;162;
1019;1;2;;;162;
1020;1;2;;;162;
1021;1;2;;;162;
1022;1;2;;;162;
1023;1;2;;;162;
1024;1;2;;;162;
1025;1;2;;;162;
1026;1;2;;;162;
1027;1;2;;;162;
1028;1;2;;;162;
1029;1;2;;;162;
1030;1;2;;;162;
1031;1;2;;;162;
1032;1;2;;;162;
1033;1;2;;;162;
1034;1;2;;;162;
1035;1;2;;;162;
1036;1;2;;;162;
1037;1;2;;;162;
1038;1;2;;;162;
1039;1;2;;;162;
1040;1;2;;;162;
1041;1;2;;;162;
1042;1;9;;;;
1043;1;9;;;;
1044;1;9;;;;
1045;1;2;;;162;
1046;1;2;;;162;
1047;1;2;;;162;
1048;1;2;;;162;
1049;1;2;;;162;
1050;1;2;;;162;
1051;1;2;;;162;
1052;1;2;;;162;
1053;1;2;;;162;
1054;1;2;;;162;
1055;1;2;;;162;
1056;1;2;;;162;
1057;1;2;;;162;
1058;1;2;;;162;
1059;1;2;;;162;
1060;1;2;;;162;
1061;1;2;;;162;
1062;1;2;;;162;
1063;1;2;;;162;
1064;1;2;;;162;
1065;1;2;;;162;
1066;1;2;;;162;
1067;1;2;;;162;
1068;1;2;;;162;
1069;1;2;;;162;
1070;1;2;;;162;
1071;1;2;;;162;
1072;1;2;;;162;
1073;1;2;;;162;
1074;1;2;;;162;
1075;1;2;;;162;
1076;1;2;;;162;
1077;1;2;;;162;
1078;1;2;;;162;
1079;1;2;;;162;
1080;1;2;;;162;
1081;1;9;;;;
1082;1;9;;;;
1083;1;9;;;;
1084;1;2;;;162;
1085;1;2;;;162;
1086;1;2;;;162;
1087;1;2;;;162;
1088;1;2;;;162;
1089;1;2;;;162;
1090;1;2;;;162;
1091;1;2;;;162;
1092;1;2;;;162;
1093;1;2;;;162;
1094;1;2;;;162;
1095;1;2;;;162;
1096;1;2;;;162;
1097;1;2;;;162;
1098;1;2;;;162;
1099;1;2;;;162;
1100;1;2;;;162;
1101;1;2;;;162;
1102;1;2;;;162;
1103;1;2;;;162;
1104;1;2;;;162;
1105;1;2;;;162;
1106;1;2;;;162;
1107;1;2;;;162;
1108;1;2;;;162;
1109;1;2;;;162;
1110;1;2;;;162;
1111;1;2;;;162;
1112;1;2;;;162;
1113;1;2;;;162;
1114;1;2;;;162;
1115;1;2;;;162;
1116;1;2;;;162;
1117;1;2;;;162;
1118;1;2;;;162;
1119;1;2;;;162;
1120;1;9;;;;
1121;1;9;;;;
1122;1;9;;;;
1123;1;2;;;162;
1124;1;2;;;162;
1125;1;2;;;162;
1126;1;2;;;162;
1127;1;2;;;162;
1128;1;2;;;162;
1129;1;2;;;162;
1130;1;2;;;162;
1131;1;2;;;162;
1132;1;2;;;162;
1133;1;2;;;162;
1134;1;2;;;162;
1135;1;2;;;162;
1136;1;2;;;162;
1137;1;2;;;162;
1138;1;2;;;162;
1139;1;2;;;162;
1140;1;2;;;162;
1141;1;2;;;162;
1142;1;2;;;162;
1143;1;2;;;162;
1144;1;2;;;162;
1145;1;2;;;162;
1146;1;2;;;162;
1147;1;2;;;162;
1148;1;2;;;162;
1149;1;2;;;162;
1150;1;2;;;162;
1151;1;2;;;162;
1152;1;2;;;162;
1153;1;2;;;162;
1154;1;2;;;162;
1155;1;2;;;162;
1156;1;2;;;162;
1157;1;2;;;162;
1158;1;2;;;162;
1159;1;9;;;;
1160;1;9;;;;
1161;1;2;;;162;
1162;1;2;;;162;
1163;1;2;;;162;
1164;1;2;;;162;
1165;1;2;;;162;
1166;1;2;;;162;
1167;1;2;;;162;
1168;1;2;;;162;
1169;1;2;;;162;
1170;1;2;;;162;
1171;1;2;;;162;
1172;1;2;;;162;
1173;1;2;;;162;
1174;1;2;;;162;
1175;1;2;;;162;
1176;1;2;;;162;
1177;1;2;;;162;
1178;1;2;;;162;
1179;1;2;;;162;
1180;1;2;;;162;
1181;1;2;;;162;
1182;1;2;;;162;
1183;1;2;;;162;
1184;1;2;;;162;
1185;1;2;;;162;
1186;1;2;;;162;
1187;1;2;;;162;
1188;1;2;;;162;
1189;1;2;;;162;
1190;1;2;;;162;
1191;1;2;;;162;
1192;1;2;;;162;
1193;1;2;;;162;
1194;1;2;;;162;
1195;1;2;;;162;
1196;1;2;;;162;
1197;1;9;;;;
1198;1;9;;;;
1199;1;9;;;;
1200;1;9;;;;
1201;1;9;;;;
1202;1;9;;;;
1203;1;2;;;162;
1204;1;2;;;162;
1205;1;2;;;162;
1206;1;2;;;162;
1207;1;2;;;162;
1208;1;2;;;162;
1209;1;2;;;162;
1210;1;2;;;162;
1211;1;2;;;162;
1212;1;2;;;162;
1213;1;2;;;162;
1214;1;2;;;162;
1215;1;2;;;162;
1216;1;2;;;162;
1217;1;2;;;162;
1218;1;2;;;162;
1219;1;2;;;162;
1220;1;2;;;162;
1221;1;2;;;162;
1222;1;2;;;162;
1223;1;2;;;162;
1224;1;2;;;162;
1225;1;2;;;162;
1226;1;2;;;162;
1227;1;2;;;162;
1228;1;2;;;162;
1229;1;2;;;162;
1230;1;2;;;162;
1231;1;2;;;162;
1232;1;2;;;162;
1233;1;2;;;162;
1234;1;2;;;162;
1235;1;2;;;162;
1236;1;2;;;162;
1237;1;2;;;162;
1238;1;2;;;162;
1239;1;2;;;;
